Gene,Freq_group,Log2FC,epi.regulation,accessibility,H3K4m3,H3K27m3,H3K36m3,DNA,cluster
Cxcl16,4,0.9465912771,yes,common,common,young,nd,nd,6
Gpx3,4,0.9470119637,yes,common,old,nd,nd,nd,12
Acsl4,4,0.94885889925,yes,common,old,nd,nd,nd,12
Slc14a1,4,0.958906275652082,yes,common,common,nd,nd,hypomethylated,2
Tbc1d8,4,0.961952860175,no,common,common,nd,common,nd,4
Nckap1,4,0.97516352135,no,common,common,nd,common,nd,4
Phactr1,4,0.97646171,yes,common,old,common,common,nd,12
Pdgfd,4,0.987486748325,yes,common,old,nd,nd,nd,12
Serpinb8,4,0.9895755737,no,common,nd,nd,common,nd,4
Vmp1,4,1.037738868125,no,common,common,nd,common,nd,4
Cd9,4,1.041500119975,no,common,common,nd,common,nd,4
Egr1,4,1.06298335247708,no,common,common,nd,nd,nd,4
Bcl6,4,1.0756178852,no,nd,common,nd,common,nd,4
Oxr1,4,1.088657234975,no,common,nd,nd,nd,nd,4
Mllt3,4,1.1080707371,no,common,common,nd,nd,nd,4
Lsr,4,1.1238389836,no,common,common,nd,nd,nd,4
Ampd3,4,1.1392535672,yes,common,common,nd,common,hypomethylated,2
Myo1e,4,1.1534675446,no,common,common,nd,nd,nd,4
Cyyr1,4,1.159553309525,yes,common,common,nd,old,nd,3
Rab34,4,1.181023982075,yes,common,common,young,nd,hypomethylated,24
S100a6,4,1.239248176425,yes,common,old,nd,common,nd,12
Ldhd,4,1.260140879025,yes,common,old,nd,old,nd,26
Rdh10,4,1.261357598525,no,nd,common,nd,common,nd,4
Ocln,4,1.31384416745,no,common,common,nd,nd,nd,4
Zfp334,4,1.3358943268,no,common,common,nd,nd,nd,4
Id2,4,1.336915291525,yes,common,common,young,nd,nd,6
Ptger4,4,1.345988493925,yes,common,common,nd,common,hypomethylated,2
Slc6a15,4,1.36644175075,no,common,common,nd,common,nd,4
Hpgds,4,1.40152128922708,no,common,nd,nd,common,nd,4
Clec1b,4,1.444301240275,no,nd,nd,nd,nd,nd,4
Plcl1,4,1.4709220325,no,common,common,nd,common,nd,4
Zfp36,4,1.52496409395,no,common,common,nd,nd,nd,4
Gda,4,1.58568406214375,no,common,common,nd,nd,nd,4
Asb4,4,1.587446262525,no,common,nd,nd,nd,nd,4
Mmp14,4,1.591801650875,yes,common,common,nd,nd,hypomethylated,2
Kdr,4,1.6175726332,no,common,common,nd,nd,nd,4
Cd200r4,4,1.623093603575,no,common,nd,nd,nd,nd,4
Acpp,4,1.62708909915,yes,common,nd,nd,old,nd,3
Amotl2,4,1.664001093875,no,common,common,nd,common,nd,4
Cavin2,4,1.6954916544,yes,common,nd,nd,nd,hypomethylated,2
Meis2,4,1.7868595195,no,common,nd,common,nd,nd,4
Maf,4,1.91118438715,no,common,common,nd,nd,nd,4
Ddr1,4,1.9799750849,yes,common,common,young,nd,hypermethylated,15
Pclo,4,1.995904443875,no,common,common,nd,common,nd,4
C4b,4,2.286843595475,yes,nd,nd,nd,old,nd,3
Rgn,4,2.505512485275,no,common,nd,nd,nd,nd,4
Chrna7,4,2.527824067875,no,common,common,nd,nd,nd,4
Lrrn1,4,2.8929269511,no,common,common,nd,nd,nd,4
Rbpjl,4,3.45130905415,no,nd,nd,nd,nd,nd,4
Gabra4,4,4.03388582145,no,common,common,nd,nd,nd,4
Ntf3,4,4.67409177505,yes,common,old,young,nd,nd,1
